Run number;Max width;Min width;Number of orders;Average reel width;Deviation of widths;Number of ordered reels;Weighted average width;Total waste percentage
00983;5000;500;117;2469.23076923077;1077.63002563428;1040.32284431024;2541.74004936398;0
00988;5000;700;126;2490.47619047619;1079.06838125699;1067.34363626255;2482.62765161656;0.2068145391
00990;4900;500;150;1930;1140.16070926559;1287.8981076732;2003.77891402328;0.9287925697
00995;5000;500;138;1830.4347826087;1106.7548865613;1144.48438511582;2031.75060614905;0.6211180124
00996;4400;500;99;2309.09090909091;884.687297354373;674.080799478946;2239.52161233039;0
00999;4900;500;162;1929.62962962963;1183.36759638962;1114.41278272194;1907.68766417951;1.2539184953
01002;5000;500;180;2903.33333333333;1248.99512681821;1464.60542624618;2846.36182501979;1.3665189349
01004;5000;500;303;2635.64356435644;1206.2407389137;2175.95493367249;2594.95136401685;0
01010;5000;500;234;2458.97435897436;1335.04457151191;1913.1374958721;2446.78762018786;0.6211180124
01013;5000;700;285;2992.63157894737;1298.04094847922;2035.33871293505;3010.45612865499;0.6211180124
01015;5000;500;276;2590.21739130435;1241.38278757861;2153.12307189888;2539.53363560075;0.3164556962
01019;4900;500;222;2264.86486486487;1198.2376688569;1643.91634082156;2339.61562169115;1.2345679012
01022;5000;500;189;3112.69841269841;1222.06993002874;1557.1760013466;3111.8686303503;0.4765022552
01024;5000;600;153;2888.23529411765;1322.47481204104;1194.93500730836;2706.00020447845;1.2539184953
01029;5000;500;204;2795.58823529412;1420.02919107539;1427.5856607625;2864.26842272228;0
01032;5000;500;243;3055.55555555556;1326.21377432396;1679.81368884551;2876.4459104215;0.3115264798
01034;5000;500;249;2992.77108433735;1312.45120946458;1919.15941388243;2945.28462956988;0
01039;5000;500;270;2814.44444444444;1231.96833268495;2134.88401685544;2818.92114515514;0
01044;4900;500;285;2725.26315789474;1269.29905418494;2389.31033924395;2698.48436764895;0.6211180124
00709;4100;800;36;2383.33333333333;1024.97386726269;359.369853774361;2450.7694870003;0.9949041495
00711;4800;900;36;3091.66666666667;1352.11474576468;199.930508808622;3021.69674991369;2.5873507298
00714;4900;1600;30;3330;1175.65828955233;194.263935263147;2893.94729787709;1.9120879121
00722;4800;600;60;2715;1220.7006879213;434.769558140811;2545.19482346575;0.7286228748
00727;4900;500;51;2370.58823529412;1356.65679044437;391.386551785199;2435.85719403752;0.3164556962
00738;4500;700;45;2993.33333333333;1044.11772237704;363.9473406588;3080.457742992;3.0969030969
00739;4300;600;45;2193.33333333333;1044.77052721899;353.346257061222;2119.8635012754;0.6309148265
00748;5000;1300;45;3286.66666666667;1265.73729860936;451.706408680547;3103.49962746037;3.6200274999
00749;5000;500;51;2700;1365.57680120892;364.858244637129;2921.44097732238;3.7106998783
00751;4700;700;63;2623.80952380952;1196.73133936465;481.330996071688;2558.89715510097;0.3115264798
00754;4700;900;51;2694.11764705882;1244.41339830554;443.430094208508;3146.92800746268;5.6385394829
00760;5000;700;63;2609.52380952381;1279.58086455686;565.053123145142;2636.98532768589;1.3530870759
00763;4700;500;42;2857.14285714286;1440.8911296093;385.952904676249;2597.81131130964;0.583090379
00765;4200;700;24;1937.5;1012.44967668822;220.855775984562;1768.41976253348;0
00771;4900;1200;27;3733.33333333333;1225.68662075903;335.512932365932;3621.82921743285;8.2065217391
00774;4400;600;24;2575;1459.67536593348;201.882311805957;2789.52218647563;2.513434841
00782;4800;700;24;2350;1355.18328617587;132.900272626585;1731.78056341899;2.7777777778
00787;3800;1200;24;2837.5;817.106506814296;246.57363787973;2722.8917790913;2.0772094846
00790;4800;500;42;3242.85714285714;1425.57525524343;357.115138366962;2871.37884097407;3.0051981806
00793;4800;700;33;2854.54545454545;1089.75080554309;262.596323696369;2811.96175873305;1.5206701876
00794;4200;500;60;2380;1023.25502562051;446.997044738111;2162.95908028527;0.9287925697
